"Timestamp","Indentation in JavaScript files?","Do you use semicolons in JavaScript?","Do you use a linter preset?","What tools do you use to validate code style?"
"2017/01/16 3:19:48 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:19:48 PM GMT+1","Tabs","Yes","tslint","tslint"
"2017/01/16 3:19:49 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:20:04 PM GMT+1","2 spaces","No","Don’t use any","ESLint"
"2017/01/16 3:20:08 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:20:17 PM GMT+1","Tabs","Yes","Standard","Standard"
"2017/01/16 3:20:23 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint;JSHint;Standard"
"2017/01/16 3:20:28 PM GMT+1","2 spaces","No","Create-react-app","ESLint"
"2017/01/16 3:20:28 PM GMT+1","2 spaces","No","Standard","Standard"
"2017/01/16 3:20:32 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 3:20:50 PM GMT+1","4 spaces","Yes","Standard","ESLint"
"2017/01/16 3:20:58 PM GMT+1","Tabs","No","AirBnb","JSHint"
"2017/01/16 3:21:04 PM GMT+1","4 spaces","Yes","AirBnb","ESLint;Prettier;xo"
"2017/01/16 3:21:05 PM GMT+1","2 spaces","No","xo","xo"
"2017/01/16 3:21:21 PM GMT+1","Tabs","Yes","Don’t use any",""
"2017/01/16 3:21:32 PM GMT+1","Tabs","Yes","Standard","ESLint"
"2017/01/16 3:21:37 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 3:21:42 PM GMT+1","Tabs","Yes","Custom derived from team agreements","ESLint;JSHint;JSCS"
"2017/01/16 3:21:46 PM GMT+1","2 spaces","Yes","Don’t use any",""
"2017/01/16 3:21:48 PM GMT+1","Tabs","Yes","Don’t use any","xo"
"2017/01/16 3:21:52 PM GMT+1","4 spaces","Yes","Custom preset based on AirBnb","ESLint"
"2017/01/16 3:21:55 PM GMT+1","4 spaces","Yes","create-react-app","ESLint"
"2017/01/16 3:21:56 PM GMT+1","2 spaces","Yes","eslint-config-marudor","ESLint;Prettier"
"2017/01/16 3:21:57 PM GMT+1","2 spaces","No","Standard","Standard"
"2017/01/16 3:21:59 PM GMT+1","2 spaces","No","Don’t use any","JSHint"
"2017/01/16 3:22:07 PM GMT+1","2 spaces","Yes","Modified AirBnb","ESLint"
"2017/01/16 3:22:19 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:22:21 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:22:21 PM GMT+1","2 spaces","Yes","custom tslint","tslint"
"2017/01/16 3:22:24 PM GMT+1","2 spaces","Yes","Don’t use any","JSHint"
"2017/01/16 3:22:25 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:22:32 PM GMT+1","Tabs","Yes","Don’t use any","ESLint"
"2017/01/16 3:22:39 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 3:22:39 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:22:41 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:22:43 PM GMT+1","4 spaces","Yes","Don’t use any","JSCS"
